facility_id,count_equip,manufacturer,model_number,serial_number,manufacture_date,service_provider,equip_type,lab_name,lab_address,lab_level,lab_affi,address_geocode,latitude,longitude
SW/OYO/010,NA,AGENT INVESTMENT NIGERIA LTD,80513922,80,NA, ,auto_cell_sorter,LABORATORY DEPARTMENT MATERNITY TEACHING HOSPITAL,YEMETU ADAEOYO IBADAAN,Secondary,Hospital,"YEMETU ADAEOYO IBADAAN, Nigeria",39.78373,-100.445882
NW/SOK/003,1,NA,BDFACS,D858000895,NA,NA,auto_cell_sorter,ILLELA GENERAL HOSPITAL,GENERAL HOSPITAL ILLELA SOKOTO STATE,Secondary,Hospital,"GENERAL HOSPITAL ILLELA SOKOTO STATE, Nigeria",39.78373,-100.445882
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NC/FCT/009,NA,NA,NA,1432-14,NA,NA,auto_cell_sorter,NNPC CLINIC,37 USUMA STREET MAITAMA ABUJA,NA,Private,"37 USUMA STREET MAITAMA ABUJA, Nigeria",39.78373,-100.445882
SW/LAG/059,1,BELTON DICKSON,NA,D33785802634,NA,NA,auto_cell_sorter,PATHOLOGY DEPT 68 NARTHY LABORATORY,MYHOUNG BARRACKS YABA-LAGOS,Refernce Lab,Hospital,"MYHOUNG BARRACKS YABA-LAGOS, Nigeria",39.78373,-100.445882
SW/OSU/015,NA,NA,NA,NA,NA,NA,auto_cell_sorter,PRIMARY HEALTH CLINIC LAB AYEDIRE LGA,ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE,Primary,Public Health,"ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE, Nigeria",39.78373,-100.445882
NC/KOG/012,NA,ISN,NA,NA,NA,NA,auto_cell_sorter,ZONAL HOSPITAL IDAH LABORATORY,FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE,Secondary,NMOD,"FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE, Nigeria",39.78373,-100.445882
NC/PLA/006,NA,NA,NA,NA,NA,APIN ENGINEER,auto_cell_sorter,GENERAL HOSPITAL MANGU,ALONG PANSHIN JOS ROADA,Secondary,NA,"ALONG PANSHIN JOS ROADA, Nigeria",39.78373,-100.445882
NW/JIG/008,1,NA,NA,NA,NA,NA,auto_cell_sorter,MEDICAL LABORATORY DEPARTMENT OF RSSH DUTSE,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA",Tertiary,Public Health,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA, Nigeria",39.78373,-100.445882
NW/KAN/005,NA,NA,NA,NA,NA,NA,auto_cell_sorter,HEALTH CLINIC GURBIN BAURE,MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE,Primary,Hospital,"MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE, Nigeria",39.78373,-100.445882
SS/DEL/026,NA,NA,NA,NA,NA,NA,auto_cell_sorter,CAPITAL HILL CLINIC LAB,NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE,Secondary,Private,"NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE, Nigeria",39.78373,-100.445882
SW/OYO/010,NA,AGENT INVESTMENT NIGERIA LTD,80513922,80,NA, ,auto_cell_sorter,LABORATORY DEPARTMENT MATERNITY TEACHING HOSPITAL,YEMETU ADAEOYO IBADAAN,Secondary,Hospital,"YEMETU ADAEOYO IBADAAN, Nigeria",39.78373,-100.445882
NW/SOK/003,1,NA,BDFACS,D858000895,NA,NA,auto_cell_sorter,ILLELA GENERAL HOSPITAL,GENERAL HOSPITAL ILLELA SOKOTO STATE,Secondary,Hospital,"GENERAL HOSPITAL ILLELA SOKOTO STATE, Nigeria",39.78373,-100.445882
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NC/FCT/009,NA,NA,NA,1432-14,NA,NA,auto_cell_sorter,NNPC CLINIC,37 USUMA STREET MAITAMA ABUJA,NA,Private,"37 USUMA STREET MAITAMA ABUJA, Nigeria",39.78373,-100.445882
SW/LAG/059,1,BELTON DICKSON,NA,D33785802634,NA,NA,auto_cell_sorter,PATHOLOGY DEPT 68 NARTHY LABORATORY,MYHOUNG BARRACKS YABA-LAGOS,Refernce Lab,Hospital,"MYHOUNG BARRACKS YABA-LAGOS, Nigeria",39.78373,-100.445882
SW/OSU/015,NA,NA,NA,NA,NA,NA,auto_cell_sorter,PRIMARY HEALTH CLINIC LAB AYEDIRE LGA,ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE,Primary,Public Health,"ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE, Nigeria",39.78373,-100.445882
NC/KOG/012,NA,ISN,NA,NA,NA,NA,auto_cell_sorter,ZONAL HOSPITAL IDAH LABORATORY,FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE,Secondary,NMOD,"FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE, Nigeria",39.78373,-100.445882
NC/PLA/006,NA,NA,NA,NA,NA,APIN ENGINEER,auto_cell_sorter,GENERAL HOSPITAL MANGU,ALONG PANSHIN JOS ROADA,Secondary,NA,"ALONG PANSHIN JOS ROADA, Nigeria",39.78373,-100.445882
NW/JIG/008,1,NA,NA,NA,NA,NA,auto_cell_sorter,MEDICAL LABORATORY DEPARTMENT OF RSSH DUTSE,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA",Tertiary,Public Health,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA, Nigeria",39.78373,-100.445882
NW/KAN/005,NA,NA,NA,NA,NA,NA,auto_cell_sorter,HEALTH CLINIC GURBIN BAURE,MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE,Primary,Hospital,"MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE, Nigeria",39.78373,-100.445882
SS/DEL/026,NA,NA,NA,NA,NA,NA,auto_cell_sorter,CAPITAL HILL CLINIC LAB,NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE,Secondary,Private,"NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE, Nigeria",39.78373,-100.445882
SW/OYO/010,NA,AGENT INVESTMENT NIGERIA LTD,80513922,80,NA, ,auto_cell_sorter,LABORATORY DEPARTMENT MATERNITY TEACHING HOSPITAL,YEMETU ADAEOYO IBADAAN,Secondary,Hospital,"YEMETU ADAEOYO IBADAAN, Nigeria",39.78373,-100.445882
NW/SOK/003,1,NA,BDFACS,D858000895,NA,NA,auto_cell_sorter,ILLELA GENERAL HOSPITAL,GENERAL HOSPITAL ILLELA SOKOTO STATE,Secondary,Hospital,"GENERAL HOSPITAL ILLELA SOKOTO STATE, Nigeria",39.78373,-100.445882
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NC/FCT/009,NA,NA,NA,1432-14,NA,NA,auto_cell_sorter,NNPC CLINIC,37 USUMA STREET MAITAMA ABUJA,NA,Private,"37 USUMA STREET MAITAMA ABUJA, Nigeria",39.78373,-100.445882
SW/LAG/059,1,BELTON DICKSON,NA,D33785802634,NA,NA,auto_cell_sorter,PATHOLOGY DEPT 68 NARTHY LABORATORY,MYHOUNG BARRACKS YABA-LAGOS,Refernce Lab,Hospital,"MYHOUNG BARRACKS YABA-LAGOS, Nigeria",39.78373,-100.445882
SW/OSU/015,NA,NA,NA,NA,NA,NA,auto_cell_sorter,PRIMARY HEALTH CLINIC LAB AYEDIRE LGA,ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE,Primary,Public Health,"ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE, Nigeria",39.78373,-100.445882
NC/KOG/012,NA,ISN,NA,NA,NA,NA,auto_cell_sorter,ZONAL HOSPITAL IDAH LABORATORY,FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE,Secondary,NMOD,"FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE, Nigeria",39.78373,-100.445882
NC/PLA/006,NA,NA,NA,NA,NA,APIN ENGINEER,auto_cell_sorter,GENERAL HOSPITAL MANGU,ALONG PANSHIN JOS ROADA,Secondary,NA,"ALONG PANSHIN JOS ROADA, Nigeria",39.78373,-100.445882
NW/JIG/008,1,NA,NA,NA,NA,NA,auto_cell_sorter,MEDICAL LABORATORY DEPARTMENT OF RSSH DUTSE,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA",Tertiary,Public Health,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA, Nigeria",39.78373,-100.445882
NW/KAN/005,NA,NA,NA,NA,NA,NA,auto_cell_sorter,HEALTH CLINIC GURBIN BAURE,MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE,Primary,Hospital,"MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE, Nigeria",39.78373,-100.445882
SS/DEL/026,NA,NA,NA,NA,NA,NA,auto_cell_sorter,CAPITAL HILL CLINIC LAB,NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE,Secondary,Private,"NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE, Nigeria",39.78373,-100.445882
SW/OYO/010,NA,AGENT INVESTMENT NIGERIA LTD,80513922,80,NA, ,auto_cell_sorter,LABORATORY DEPARTMENT MATERNITY TEACHING HOSPITAL,YEMETU ADAEOYO IBADAAN,Secondary,Hospital,"YEMETU ADAEOYO IBADAAN, Nigeria",39.78373,-100.445882
NW/SOK/003,1,NA,BDFACS,D858000895,NA,NA,auto_cell_sorter,ILLELA GENERAL HOSPITAL,GENERAL HOSPITAL ILLELA SOKOTO STATE,Secondary,Hospital,"GENERAL HOSPITAL ILLELA SOKOTO STATE, Nigeria",39.78373,-100.445882
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NC/FCT/009,NA,NA,NA,1432-14,NA,NA,auto_cell_sorter,NNPC CLINIC,37 USUMA STREET MAITAMA ABUJA,NA,Private,"37 USUMA STREET MAITAMA ABUJA, Nigeria",39.78373,-100.445882
SW/LAG/059,1,BELTON DICKSON,NA,D33785802634,NA,NA,auto_cell_sorter,PATHOLOGY DEPT 68 NARTHY LABORATORY,MYHOUNG BARRACKS YABA-LAGOS,Refernce Lab,Hospital,"MYHOUNG BARRACKS YABA-LAGOS, Nigeria",39.78373,-100.445882
SW/OSU/015,NA,NA,NA,NA,NA,NA,auto_cell_sorter,PRIMARY HEALTH CLINIC LAB AYEDIRE LGA,ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE,Primary,Public Health,"ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE, Nigeria",39.78373,-100.445882
NC/KOG/012,NA,ISN,NA,NA,NA,NA,auto_cell_sorter,ZONAL HOSPITAL IDAH LABORATORY,FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE,Secondary,NMOD,"FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE, Nigeria",39.78373,-100.445882
NC/PLA/006,NA,NA,NA,NA,NA,APIN ENGINEER,auto_cell_sorter,GENERAL HOSPITAL MANGU,ALONG PANSHIN JOS ROADA,Secondary,NA,"ALONG PANSHIN JOS ROADA, Nigeria",39.78373,-100.445882
NW/JIG/008,1,NA,NA,NA,NA,NA,auto_cell_sorter,MEDICAL LABORATORY DEPARTMENT OF RSSH DUTSE,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA",Tertiary,Public Health,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA, Nigeria",39.78373,-100.445882
NW/KAN/005,NA,NA,NA,NA,NA,NA,auto_cell_sorter,HEALTH CLINIC GURBIN BAURE,MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE,Primary,Hospital,"MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE, Nigeria",39.78373,-100.445882
SS/DEL/026,NA,NA,NA,NA,NA,NA,auto_cell_sorter,CAPITAL HILL CLINIC LAB,NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE,Secondary,Private,"NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE, Nigeria",39.78373,-100.445882
SW/OYO/010,NA,AGENT INVESTMENT NIGERIA LTD,80513922,80,NA, ,auto_cell_sorter,LABORATORY DEPARTMENT MATERNITY TEACHING HOSPITAL,YEMETU ADAEOYO IBADAAN,Secondary,Hospital,"YEMETU ADAEOYO IBADAAN, Nigeria",39.78373,-100.445882
NW/SOK/003,1,NA,BDFACS,D858000895,NA,NA,auto_cell_sorter,ILLELA GENERAL HOSPITAL,GENERAL HOSPITAL ILLELA SOKOTO STATE,Secondary,Hospital,"GENERAL HOSPITAL ILLELA SOKOTO STATE, Nigeria",39.78373,-100.445882
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NC/FCT/009,NA,NA,NA,1432-14,NA,NA,auto_cell_sorter,NNPC CLINIC,37 USUMA STREET MAITAMA ABUJA,NA,Private,"37 USUMA STREET MAITAMA ABUJA, Nigeria",39.78373,-100.445882
SW/LAG/059,1,BELTON DICKSON,NA,D33785802634,NA,NA,auto_cell_sorter,PATHOLOGY DEPT 68 NARTHY LABORATORY,MYHOUNG BARRACKS YABA-LAGOS,Refernce Lab,Hospital,"MYHOUNG BARRACKS YABA-LAGOS, Nigeria",39.78373,-100.445882
SW/OSU/015,NA,NA,NA,NA,NA,NA,auto_cell_sorter,PRIMARY HEALTH CLINIC LAB AYEDIRE LGA,ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE,Primary,Public Health,"ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE, Nigeria",39.78373,-100.445882
NC/KOG/012,NA,ISN,NA,NA,NA,NA,auto_cell_sorter,ZONAL HOSPITAL IDAH LABORATORY,FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE,Secondary,NMOD,"FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE, Nigeria",39.78373,-100.445882
NC/PLA/006,NA,NA,NA,NA,NA,APIN ENGINEER,auto_cell_sorter,GENERAL HOSPITAL MANGU,ALONG PANSHIN JOS ROADA,Secondary,NA,"ALONG PANSHIN JOS ROADA, Nigeria",39.78373,-100.445882
NW/JIG/008,1,NA,NA,NA,NA,NA,auto_cell_sorter,MEDICAL LABORATORY DEPARTMENT OF RSSH DUTSE,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA",Tertiary,Public Health,"RASHEED SHEKONI SPECIALIST HOSPITAL DUTSE, JIGAWA, Nigeria",39.78373,-100.445882
NW/KAN/005,NA,NA,NA,NA,NA,NA,auto_cell_sorter,HEALTH CLINIC GURBIN BAURE,MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE,Primary,Hospital,"MATERNAL AND CHILD HEALTH CLINIC GURBIN BAURE JIBIA LGA KATSINA STATE, Nigeria",39.78373,-100.445882
SS/DEL/026,NA,NA,NA,NA,NA,NA,auto_cell_sorter,CAPITAL HILL CLINIC LAB,NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE,Secondary,Private,"NO 2 ETUWENE STR OFF DECO ROADA WARRI DELTA STATE, Nigeria",39.78373,-100.445882
SW/OYO/010,NA,AGENT INVESTMENT NIGERIA LTD,80513922,80,NA, ,auto_cell_sorter,LABORATORY DEPARTMENT MATERNITY TEACHING HOSPITAL,YEMETU ADAEOYO IBADAAN,Secondary,Hospital,"YEMETU ADAEOYO IBADAAN, Nigeria",39.78373,-100.445882
NW/SOK/003,1,NA,BDFACS,D858000895,NA,NA,auto_cell_sorter,ILLELA GENERAL HOSPITAL,GENERAL HOSPITAL ILLELA SOKOTO STATE,Secondary,Hospital,"GENERAL HOSPITAL ILLELA SOKOTO STATE, Nigeria",39.78373,-100.445882
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NE/GME/002,1,NA,D85 8000945,NA,NA,NA,auto_cell_sorter,GENERAL HOSPITAL BILLIRI,GOMBE STATE,Secondary,Hospital,"GOMBE STATE, Nigeria",10.282216,11.162977
NC/FCT/009,NA,NA,NA,1432-14,NA,NA,auto_cell_sorter,NNPC CLINIC,37 USUMA STREET MAITAMA ABUJA,NA,Private,"37 USUMA STREET MAITAMA ABUJA, Nigeria",39.78373,-100.445882
SW/LAG/059,1,BELTON DICKSON,NA,D33785802634,NA,NA,auto_cell_sorter,PATHOLOGY DEPT 68 NARTHY LABORATORY,MYHOUNG BARRACKS YABA-LAGOS,Refernce Lab,Hospital,"MYHOUNG BARRACKS YABA-LAGOS, Nigeria",39.78373,-100.445882
SW/OSU/015,NA,NA,NA,NA,NA,NA,auto_cell_sorter,PRIMARY HEALTH CLINIC LAB AYEDIRE LGA,ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE,Primary,Public Health,"ADAJACENT OGUNKANMIS HEALTH CENTERS OKE ODO AREA ILE OGBO OSUN STATE, Nigeria",39.78373,-100.445882
NC/KOG/012,NA,ISN,NA,NA,NA,NA,auto_cell_sorter,ZONAL HOSPITAL IDAH LABORATORY,FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE,Secondary,NMOD,"FOMERLY GENERAL HOSPITAL IDAH LGS KOGI STATE, Nigeria",39.78373,-100.445882
